rank_by_mAP50_95_generalization,detector,KITTI_mAP50_95,Waymo_mAP50_95,mAP50_95_absolute_drop,mAP50_95_drop_percent,mAP50_95_generalization_ratio,KITTI_mAP50,Waymo_mAP50,mAP50_absolute_drop,mAP50_drop_percent,mAP50_generalization_ratio
1,retinanet,0.508122,0.078764,0.429358,84.498948,0.155011,0.807834,0.168049,0.639785,79.197546,0.208025
2,rtdetr,0.631434,0.076835,0.554599,87.831604,0.121684,0.921312,0.166143,0.755169,81.966728,0.180333
3,faster_rcnn,0.539631,0.054493,0.485138,89.901782,0.100982,0.860892,0.12197,0.738922,85.8321,0.141679
4,yolo,0.691006,0.053924,0.637082,92.196367,0.078036,0.920643,0.109444,0.8112,88.112246,0.118878
