detector,rank_by_mAP50_95_generalization,KITTI_num_images,Waymo_num_images,KITTI_mAP50,Waymo_mAP50,mAP50_absolute_drop,mAP50_drop_percent,mAP50_generalization_ratio,KITTI_mAP50_95,Waymo_mAP50_95,mAP50_95_absolute_drop,mAP50_95_drop_percent,mAP50_95_generalization_ratio,Waymo_mean_inference_ms
retinanet,1,1496,996,0.8390278538468965,0.21452673766027394,0.6245011161866225,74.43151181731564,0.2556848818268436,0.5375448197028951,0.0968696864261754,0.44067513327671975,81.97923542827257,0.18020764571727427,77.504
faster_rcnn,2,1496,996,0.8789726665481264,0.1748056283256458,0.7041670382224806,80.11250690967026,0.1988749309032975,0.5891821731631266,0.07706860293175784,0.5121135702313687,86.9193932806891,0.13080606719310886,92.07
rtdetr,3,1496,996,0.9057779843760899,0.15087304356392536,0.7549049408121645,83.34326444599463,0.1665673555400537,0.6057156407334038,0.07143559567392663,0.5342800450594771,88.2064138896212,0.11793586110378794,62.5657
yolo,4,1496,996,0.924841871900142,0.14198923773120142,0.7828526341689406,84.64718758467583,0.15352812415324166,0.6899380300687701,0.06542560018900544,0.6245124298797646,90.51717729163529,0.09482822708364705,34.2107
