deployment_rank,detector,kitti_mAP50,kitti_mAP50_95,waymo_mAP50,waymo_mAP50_95,absolute_drop_mAP50_95_KITTI_minus_Waymo,generalization_ratio_mAP50_95,kitti_mean_inference_ms,waymo_mean_inference_ms,kitti_fps,waymo_fps,kitti_vru_false_negative_rate_all_sizes,waymo_vru_false_negative_rate_all_sizes,waymo_vru_recall_all_sizes,waymo_small_vru_false_negative_rate,waymo_small_vru_recall,waymo_small_all_classes_recall,waymo_small_all_classes_false_negative_rate,waymo_false_negative_count,waymo_false_positive_count,waymo_high_confidence_false_positive_count,waymo_localization_error_count,waymo_class_confusion_count,waymo_duplicate_detection_count,waymo_safety_relevant_failure_count,kitti_false_positive_count,kitti_high_confidence_false_positive_count,waymo_mAP50_95_score,generalization_ratio_score,vru_safety_score,small_vru_safety_score,speed_score,deployment_tradeoff_score,deployment_tier,deployment_note
1,rtdetr,0.921312,0.631434,0.166143,0.076835,0.554599,0.121684,43.488,48.509,22.995,20.615,0.013636,0.737549,0.262451,0.774832,0.225168,0.217936,0.782064,17687,291668,1022,8030,1774,13185,144635,441047,3658,0.076835,0.121684,0.262451,0.225168,0.412831,0.197339,research only / not deployment-ready,"Best vulnerable-road-user recall and strongest safety-oriented result, but slower and has many low-confidence proposals. Best candidate for further robustness improvement."
2,yolo,0.920643,0.691006,0.109444,0.053924,0.637082,0.078036,15.989,20.026,62.545,49.935,0.034091,0.9009,0.0991,0.941454,0.058546,0.082205,0.917795,21298,6561,153,888,159,2457,13226,18558,671,0.053924,0.078036,0.0991,0.058546,1.0,0.1676,research only / not deployment-ready,"Fastest external inference, but weakest Waymo vulnerable-road-user safety recall. Useful as a speed baseline, not sufficient alone for safety-critical deployment."
3,retinanet,0.807834,0.508122,0.168049,0.078764,0.429358,0.155011,54.768,51.936,18.259,19.254,0.113636,0.833101,0.166899,0.872544,0.127456,0.135367,0.864633,19779,3851,1164,1660,241,260,9420,411624,1298,0.078764,0.155011,0.166899,0.127456,0.38559,0.15844,research only / not deployment-ready,"Strongest Waymo mAP50-95 and generalization ratio, but safety false negatives remain high. Useful as an external-generalization reference."
4,faster_rcnn,0.860892,0.539631,0.12197,0.054493,0.485138,0.100982,59.018,58.876,16.944,16.985,0.07197,0.855025,0.144975,0.89179,0.10821,0.110883,0.889117,20572,6666,2401,1765,319,237,11805,29225,2109,0.054493,0.100982,0.144975,0.10821,0.340139,0.127558,research only / not deployment-ready,Moderate safety behavior but slowest external inference. Less attractive for real-time deployment compared with RT-DETR or YOLO.
