detector,checkpoint_path,file_size_mb,sha256,load_test,locked_at
yolo,D:\MCs\advances object detection and recognition\project\AV-crossDataset-ObjectDetection\outputs\milestone_4\checkpoints\yolo\final\best.pt,21.5,b2f4a3066c767edeee90e02b54ed71022319b30196585046697677cca8ff146c,PASSED,2026-08-14T22:16:31.387648+00:00
faster_rcnn,D:\MCs\advances object detection and recognition\project\AV-crossDataset-ObjectDetection\outputs\milestone_4\checkpoints\faster_rcnn\final\best.pt,315.68,1d0bebabe7f171f060e48b47a361c7207ff7f700f74bcb45c36b4d9d938be223,PASSED,2026-08-14T22:16:32.297184+00:00
retinanet,D:\MCs\advances object detection and recognition\project\AV-crossDataset-ObjectDetection\outputs\milestone_4\checkpoints\retinanet\final\best.pt,278.0,dc44dfcf5a743980b86c5e4deb0f9e53efe7b648c94aeadfa8c28212552fa633,PASSED,2026-08-14T22:16:33.297144+00:00
rtdetr,D:\MCs\advances object detection and recognition\project\AV-crossDataset-ObjectDetection\outputs\milestone_4\checkpoints\rtdetr\final\best.pt,63.15,d79a9d88b5c249b6757372be825b635d096eebb5cf322ce26b664c9c44475aee,PASSED,2026-08-14T22:16:33.463808+00:00
