detector,filename,file_size_mb,sha256,status
yolo,best.pt,22.55,b2f4a3066c767edeee90e02b54ed71022319b30196585046697677cca8ff146c,imported
yolo,last.pt,22.55,26af53006191ec427056beea0a450f631d20a9bf9d3bc9629291ed2421a50fb8,imported
rtdetr,best.pt,63.15,d79a9d88b5c249b6757372be825b635d096eebb5cf322ce26b664c9c44475aee,imported
rtdetr,last.pt,63.15,81f69160446354dc16361d8fea62e6bb25e28509656c322b9649aa5e40db4450,imported
retinanet,best.pt,278.0,dc44dfcf5a743980b86c5e4deb0f9e53efe7b648c94aeadfa8c28212552fa633,imported
retinanet,last.pt,278.0,770aaa8f9dd282f096669a46ae073a877a429082aeaeee0a1c06624ef9d7805e,imported
faster_rcnn,best.pt,315.68,1d0bebabe7f171f060e48b47a361c7207ff7f700f74bcb45c36b4d9d938be223,imported
faster_rcnn,last.pt,315.68,f133b1ec32c162528cc5527ccf572f600e0bfc08a06abed0381778ea89561702,imported
