dataset,detector,failure_type,analysis_class_name,object_size_bin,risk_level,count,high_confidence_count,safety_relevant_count,mean_score,mean_iou,mean_best_same_class_iou,mean_best_wrong_class_iou
kitti,rtdetr,duplicate_detection,Cyclist,medium,low,241,3,241,0.02557654,0.62337,0.62337,
kitti,rtdetr,duplicate_detection,Cyclist,large,low,102,2,102,0.02563821,0.645741,0.645741,
kitti,rtdetr,true_positive,Vehicle,small,none,4059,3978,0,0.78879249,0.851626,0.851626,
kitti,rtdetr,true_positive,Vehicle,medium,none,1381,1359,0,0.87440556,0.901755,0.901755,
kitti,rtdetr,true_positive,Vehicle,large,none,1011,1001,0,0.92006454,0.934918,0.934918,
kitti,rtdetr,true_positive,Pedestrian,small,none,629,598,629,0.66929873,0.742582,0.742582,
kitti,rtdetr,true_positive,Pedestrian,medium,none,298,285,298,0.80426064,0.815453,0.815453,
kitti,rtdetr,true_positive,Pedestrian,large,none,36,32,36,0.73673093,0.774083,0.774083,
kitti,rtdetr,true_positive,Cyclist,small,none,259,243,259,0.7106766,0.800072,0.800072,
kitti,rtdetr,true_positive,Cyclist,medium,none,57,54,57,0.82636526,0.85569,0.85569,
kitti,rtdetr,true_positive,Cyclist,large,none,23,22,23,0.87073932,0.883444,0.883444,
kitti,retinanet,false_negative,Vehicle,small,medium,122,0,0,,,0.345001,0.29968
kitti,retinanet,false_negative,Vehicle,medium,medium,30,0,0,,,0.382355,0.494428
kitti,retinanet,false_negative,Vehicle,large,medium,7,0,0,,,0.43165,0.732223
kitti,retinanet,false_negative,Pedestrian,small,critical,112,0,112,,,0.288635,0.393129
kitti,retinanet,false_negative,Pedestrian,medium,critical,8,0,8,,,0.413344,0.634456
kitti,retinanet,false_negative,Pedestrian,large,critical,1,0,1,,,0.482671,0.702306
kitti,retinanet,false_negative,Cyclist,small,critical,26,0,26,,,0.288524,0.481151
kitti,retinanet,false_negative,Cyclist,medium,critical,3,0,3,,,0.448151,0.535147
kitti,retinanet,false_positive,Vehicle,not_applicable,low,316615,852,0,0.00591063,0.051443,0.041656,
kitti,retinanet,false_positive,Pedestrian,not_applicable,medium,67298,331,67298,0.00848547,0.105483,0.016552,
kitti,retinanet,false_positive,Cyclist,not_applicable,medium,27711,115,27711,0.00739373,0.147456,0.008104,
kitti,retinanet,localization_error,Vehicle,small,low,107,14,0,0.10980915,0.388727,0.388727,0.320264
kitti,retinanet,localization_error,Vehicle,medium,low,30,3,0,0.08700984,0.382355,0.382355,0.494428
kitti,retinanet,localization_error,Vehicle,large,low,7,0,0,0.0026129,0.43165,0.43165,0.732223
kitti,retinanet,localization_error,Pedestrian,small,medium,90,32,90,0.29689731,0.355311,0.355311,0.426089
kitti,retinanet,localization_error,Pedestrian,medium,medium,8,0,8,0.02964702,0.413344,0.413344,0.634456
kitti,retinanet,localization_error,Pedestrian,large,medium,1,0,1,0.00714774,0.482671,0.482671,0.702306
kitti,retinanet,localization_error,Cyclist,small,medium,20,5,20,0.22188321,0.371117,0.371117,0.53464
kitti,retinanet,localization_error,Cyclist,medium,medium,3,0,3,0.03097686,0.448151,0.448151,0.535147
kitti,retinanet,class_confusion,Vehicle,small,high,65,0,65,0.00974416,0.51129,0.372501,0.51129
kitti,retinanet,class_confusion,Vehicle,medium,high,24,0,24,0.00625119,0.564399,0.385663,0.564399
kitti,retinanet,class_confusion,Vehicle,large,high,7,0,7,0.01178614,0.732223,0.43165,0.732223
kitti,retinanet,class_confusion,Pedestrian,small,high,73,2,73,0.03035783,0.509457,0.34939,0.509457
kitti,retinanet,class_confusion,Pedestrian,medium,high,8,0,8,0.01750787,0.634456,0.413344,0.634456
kitti,retinanet,class_confusion,Pedestrian,large,high,1,0,1,0.00748606,0.702306,0.482671,0.702306
kitti,retinanet,class_confusion,Cyclist,small,high,22,0,22,0.01907972,0.542873,0.325916,0.542873
kitti,retinanet,class_confusion,Cyclist,medium,high,3,0,3,0.01715878,0.535147,0.448151,0.535147
kitti,retinanet,duplicate_detection,Vehicle,small,low,828,81,0,0.08305673,0.565835,0.565835,
kitti,retinanet,duplicate_detection,Vehicle,medium,low,381,35,0,0.09056454,0.552775,0.552775,
kitti,retinanet,duplicate_detection,Vehicle,large,low,214,10,0,0.04331848,0.550783,0.550783,
kitti,retinanet,duplicate_detection,Pedestrian,small,low,152,19,152,0.11952719,0.583896,0.583896,
kitti,retinanet,duplicate_detection,Pedestrian,medium,low,135,6,135,0.05445831,0.564724,0.564724,
kitti,retinanet,duplicate_detection,Pedestrian,large,low,36,4,36,0.09055022,0.562268,0.562268,
kitti,retinanet,duplicate_detection,Cyclist,small,low,39,2,39,0.03565407,0.579797,0.579797,
