dataset,detector,failure_type,analysis_class_name,object_size_bin,risk_level,count,high_confidence_count,safety_relevant_count,mean_score,mean_iou,mean_best_same_class_iou,mean_best_wrong_class_iou
waymo,retinanet,localization_error,Pedestrian,small,medium,553,262,553,0.35609439,0.302599,0.302599,0.059785
waymo,retinanet,localization_error,Pedestrian,medium,medium,30,8,30,0.21708909,0.337112,0.337112,0.315765
waymo,retinanet,localization_error,Pedestrian,large,medium,2,2,2,0.65455133,0.471459,0.471459,0.256988
waymo,retinanet,localization_error,Cyclist,small,medium,27,11,27,0.37285092,0.26422,0.26422,0.077249
waymo,retinanet,localization_error,Cyclist,medium,medium,1,0,1,0.05208825,0.495967,0.495967,0.455326
waymo,retinanet,class_confusion,Vehicle,small,high,56,10,56,0.16042213,0.422371,0.176119,0.422371
waymo,retinanet,class_confusion,Vehicle,medium,high,5,0,5,0.07986846,0.500349,0.133927,0.500349
waymo,retinanet,class_confusion,Vehicle,large,high,3,0,3,0.08683376,0.336487,0.312293,0.336487
waymo,retinanet,class_confusion,Pedestrian,small,high,107,32,107,0.26974453,0.459911,0.154895,0.459911
waymo,retinanet,class_confusion,Pedestrian,medium,high,18,0,18,0.08447657,0.501408,0.300386,0.501408
waymo,retinanet,class_confusion,Pedestrian,large,high,1,0,1,0.05229952,0.474884,0.472081,0.474884
waymo,retinanet,class_confusion,Cyclist,small,high,48,22,48,0.33238399,0.559004,0.011775,0.559004
waymo,retinanet,class_confusion,Cyclist,medium,high,2,1,2,0.53729205,0.55865,0.247983,0.55865
waymo,retinanet,class_confusion,Cyclist,large,high,1,1,1,0.58148968,0.462993,0.0,0.462993
waymo,retinanet,duplicate_detection,Vehicle,small,low,68,39,0,0.44532476,0.574397,0.574397,
waymo,retinanet,duplicate_detection,Vehicle,medium,low,48,17,0,0.32270775,0.620512,0.620512,
waymo,retinanet,duplicate_detection,Vehicle,large,low,34,9,0,0.22402842,0.560506,0.560506,
waymo,retinanet,duplicate_detection,Pedestrian,small,low,44,11,44,0.2394262,0.583658,0.583658,
waymo,retinanet,duplicate_detection,Pedestrian,medium,low,41,14,41,0.28444048,0.578623,0.578623,
waymo,retinanet,duplicate_detection,Pedestrian,large,low,15,5,15,0.24067299,0.573435,0.573435,
waymo,retinanet,duplicate_detection,Cyclist,small,low,1,0,1,0.14107904,0.541425,0.541425,
waymo,retinanet,duplicate_detection,Cyclist,medium,low,8,2,8,0.18015305,0.617058,0.617058,
waymo,retinanet,duplicate_detection,Cyclist,large,low,1,1,1,0.30905935,0.634689,0.634689,
waymo,retinanet,true_positive,Vehicle,small,none,2022,1713,0,0.7764726,0.747467,0.747467,
waymo,retinanet,true_positive,Vehicle,medium,none,999,875,0,0.82690624,0.789507,0.789507,
waymo,retinanet,true_positive,Vehicle,large,none,702,656,0,0.88849849,0.808884,0.808884,
waymo,retinanet,true_positive,Pedestrian,small,none,865,650,865,0.63489547,0.695535,0.695535,
waymo,retinanet,true_positive,Pedestrian,medium,none,267,250,267,0.87799127,0.758258,0.758258,
waymo,retinanet,true_positive,Pedestrian,large,none,45,45,45,0.8768332,0.749704,0.749704,
waymo,retinanet,true_positive,Cyclist,small,none,82,67,82,0.73324066,0.668214,0.668214,
waymo,retinanet,true_positive,Cyclist,medium,none,54,53,54,0.96054655,0.688703,0.688703,
waymo,retinanet,true_positive,Cyclist,large,none,4,4,4,0.90426789,0.800042,0.800042,
waymo,faster_rcnn,false_negative,Vehicle,small,medium,12875,0,0,,,0.018004,0.009425
waymo,faster_rcnn,false_negative,Vehicle,medium,medium,684,0,0,,,0.057959,0.008651
waymo,faster_rcnn,false_negative,Vehicle,large,medium,266,0,0,,,0.123814,0.006762
waymo,faster_rcnn,false_negative,Pedestrian,small,critical,6011,0,6011,,,0.037238,0.023831
waymo,faster_rcnn,false_negative,Pedestrian,medium,critical,83,0,83,,,0.15183,0.056905
waymo,faster_rcnn,false_negative,Pedestrian,large,critical,3,0,3,,,0.283288,0.327888
waymo,faster_rcnn,false_negative,Cyclist,small,critical,615,0,615,,,0.035181,0.058128
waymo,faster_rcnn,false_negative,Cyclist,medium,critical,25,0,25,,,0.071612,0.279437
waymo,faster_rcnn,false_negative,Cyclist,large,critical,10,0,10,,,0.0,0.05015
waymo,faster_rcnn,false_positive,Vehicle,not_applicable,low,2909,1086,0,0.31044685,0.176259,0.160436,
waymo,faster_rcnn,false_positive,Pedestrian,not_applicable,medium,2625,1094,2625,0.337456,0.235658,0.151546,
waymo,faster_rcnn,false_positive,Cyclist,not_applicable,medium,1132,221,1132,0.21257789,0.202142,0.020907,
waymo,faster_rcnn,localization_error,Vehicle,small,low,712,467,0,0.50851312,0.283832,0.283832,0.041842
waymo,faster_rcnn,localization_error,Vehicle,medium,low,99,61,0,0.48772646,0.321337,0.321337,0.036871
waymo,faster_rcnn,localization_error,Vehicle,large,low,99,48,0,0.36144817,0.282277,0.282277,0.015151
waymo,faster_rcnn,localization_error,Pedestrian,small,medium,747,430,747,0.42861587,0.270552,0.270552,0.094989
waymo,faster_rcnn,localization_error,Pedestrian,medium,medium,37,22,37,0.44720023,0.339107,0.339107,0.123773
waymo,faster_rcnn,localization_error,Pedestrian,large,medium,2,2,2,0.69732669,0.424932,0.424932,0.491833
waymo,faster_rcnn,localization_error,Cyclist,small,medium,65,42,65,0.44778569,0.32927,0.32927,0.24599
waymo,faster_rcnn,localization_error,Cyclist,medium,medium,4,3,4,0.71150152,0.441247,0.441247,0.569597
waymo,faster_rcnn,class_confusion,Vehicle,small,high,87,31,87,0.2561423,0.379403,0.177182,0.379403
waymo,faster_rcnn,class_confusion,Vehicle,medium,high,9,3,9,0.27874841,0.401005,0.233518,0.401005
waymo,faster_rcnn,class_confusion,Pedestrian,small,high,139,60,139,0.36027622,0.441867,0.212086,0.441867
waymo,faster_rcnn,class_confusion,Pedestrian,medium,high,5,1,5,0.23174243,0.443819,0.371043,0.443819
waymo,faster_rcnn,class_confusion,Pedestrian,large,high,2,2,2,0.44827226,0.491833,0.424932,0.491833
waymo,faster_rcnn,class_confusion,Cyclist,small,high,66,30,66,0.31832112,0.472971,0.172499,0.472971
waymo,faster_rcnn,class_confusion,Cyclist,medium,high,11,9,11,0.76432257,0.601328,0.162755,0.601328
waymo,faster_rcnn,duplicate_detection,Vehicle,small,low,37,19,0,0.39195255,0.564019,0.564019,
waymo,faster_rcnn,duplicate_detection,Vehicle,medium,low,39,13,0,0.31891735,0.565447,0.565447,
waymo,faster_rcnn,duplicate_detection,Vehicle,large,low,34,21,0,0.40459796,0.580351,0.580351,
waymo,faster_rcnn,duplicate_detection,Pedestrian,small,low,67,38,67,0.39395914,0.592867,0.592867,
waymo,faster_rcnn,duplicate_detection,Pedestrian,medium,low,51,24,51,0.36230341,0.560086,0.560086,
waymo,faster_rcnn,duplicate_detection,Pedestrian,large,low,9,5,9,0.40488272,0.603444,0.603444,
waymo,faster_rcnn,true_positive,Vehicle,small,none,1628,1442,0,0.8102435,0.735005,0.735005,
waymo,faster_rcnn,true_positive,Vehicle,medium,none,894,841,0,0.88345913,0.782999,0.782999,
waymo,faster_rcnn,true_positive,Vehicle,large,none,581,534,0,0.86607071,0.77087,0.77087,
waymo,faster_rcnn,true_positive,Pedestrian,small,none,735,616,735,0.72924182,0.685466,0.685466,
waymo,faster_rcnn,true_positive,Pedestrian,medium,none,251,243,251,0.9219528,0.731992,0.731992,
waymo,faster_rcnn,true_positive,Pedestrian,large,none,44,43,44,0.88986782,0.681633,0.681633,
waymo,faster_rcnn,true_positive,Cyclist,small,none,69,55,69,0.68270052,0.642493,0.642493,
waymo,faster_rcnn,true_positive,Cyclist,medium,none,41,35,41,0.72780724,0.712198,0.712198,
waymo,faster_rcnn,true_positive,Cyclist,large,none,4,4,4,0.74130867,0.738932,0.738932,
