dataset,detector,failure_type,analysis_class_name,object_size_bin,risk_level,count
kitti,rtdetr,false_negative,Vehicle,medium,medium,4
kitti,rtdetr,false_negative,Vehicle,small,medium,16
kitti,rtdetr,false_positive,Cyclist,not_applicable,medium,51081
kitti,rtdetr,false_positive,Pedestrian,not_applicable,medium,101941
kitti,rtdetr,false_positive,Vehicle,not_applicable,low,288025
kitti,rtdetr,localization_error,Cyclist,small,medium,1
kitti,rtdetr,localization_error,Pedestrian,small,medium,15
kitti,rtdetr,localization_error,Vehicle,large,low,1
kitti,rtdetr,localization_error,Vehicle,medium,low,4
kitti,rtdetr,localization_error,Vehicle,small,low,12
kitti,rtdetr,true_positive,Cyclist,large,none,23
kitti,rtdetr,true_positive,Cyclist,medium,none,57
kitti,rtdetr,true_positive,Cyclist,small,none,259
kitti,rtdetr,true_positive,Pedestrian,large,none,36
kitti,rtdetr,true_positive,Pedestrian,medium,none,298
kitti,rtdetr,true_positive,Pedestrian,small,none,629
kitti,rtdetr,true_positive,Vehicle,large,none,1011
kitti,rtdetr,true_positive,Vehicle,medium,none,1381
kitti,rtdetr,true_positive,Vehicle,small,none,4059
kitti,yolo,class_confusion,Cyclist,medium,high,1
kitti,yolo,class_confusion,Cyclist,small,high,1
kitti,yolo,class_confusion,Pedestrian,small,high,5
kitti,yolo,class_confusion,Vehicle,small,high,2
kitti,yolo,duplicate_detection,Cyclist,large,low,2
kitti,yolo,duplicate_detection,Cyclist,medium,low,53
kitti,yolo,duplicate_detection,Cyclist,small,low,301
kitti,yolo,duplicate_detection,Pedestrian,large,low,178
kitti,yolo,duplicate_detection,Pedestrian,medium,low,1019
kitti,yolo,duplicate_detection,Pedestrian,small,low,2296
kitti,yolo,duplicate_detection,Vehicle,large,low,155
kitti,yolo,duplicate_detection,Vehicle,medium,low,878
kitti,yolo,duplicate_detection,Vehicle,small,low,2371
kitti,yolo,false_negative,Cyclist,medium,critical,2
kitti,yolo,false_negative,Cyclist,small,critical,2
kitti,yolo,false_negative,Pedestrian,medium,critical,1
kitti,yolo,false_negative,Pedestrian,small,critical,40
kitti,yolo,false_negative,Vehicle,large,medium,6
kitti,yolo,false_negative,Vehicle,medium,medium,11
kitti,yolo,false_negative,Vehicle,small,medium,34
kitti,yolo,false_positive,Cyclist,not_applicable,medium,1662
kitti,yolo,false_positive,Pedestrian,not_applicable,medium,7686
kitti,yolo,false_positive,Vehicle,not_applicable,low,9210
kitti,yolo,localization_error,Cyclist,small,medium,1
kitti,yolo,localization_error,Pedestrian,medium,medium,1
kitti,yolo,localization_error,Pedestrian,small,medium,30
kitti,yolo,localization_error,Vehicle,large,low,1
kitti,yolo,localization_error,Vehicle,medium,low,7
kitti,yolo,localization_error,Vehicle,small,low,21
kitti,yolo,true_positive,Cyclist,large,none,23
kitti,yolo,true_positive,Cyclist,medium,none,55
kitti,yolo,true_positive,Cyclist,small,none,258
kitti,yolo,true_positive,Pedestrian,large,none,36
kitti,yolo,true_positive,Pedestrian,medium,none,297
kitti,yolo,true_positive,Pedestrian,small,none,606
kitti,yolo,true_positive,Vehicle,large,none,1006
kitti,yolo,true_positive,Vehicle,medium,none,1374
kitti,yolo,true_positive,Vehicle,small,none,4041
waymo,faster_rcnn,class_confusion,Cyclist,medium,high,11
waymo,faster_rcnn,class_confusion,Cyclist,small,high,66
waymo,faster_rcnn,class_confusion,Pedestrian,large,high,2
waymo,faster_rcnn,class_confusion,Pedestrian,medium,high,5
waymo,faster_rcnn,class_confusion,Pedestrian,small,high,139
waymo,faster_rcnn,class_confusion,Vehicle,medium,high,9
waymo,faster_rcnn,class_confusion,Vehicle,small,high,87
waymo,faster_rcnn,duplicate_detection,Pedestrian,large,low,9
waymo,faster_rcnn,duplicate_detection,Pedestrian,medium,low,51
waymo,faster_rcnn,duplicate_detection,Pedestrian,small,low,67
waymo,faster_rcnn,duplicate_detection,Vehicle,large,low,34
waymo,faster_rcnn,duplicate_detection,Vehicle,medium,low,39
waymo,faster_rcnn,duplicate_detection,Vehicle,small,low,37
waymo,faster_rcnn,false_negative,Cyclist,large,critical,10
waymo,faster_rcnn,false_negative,Cyclist,medium,critical,25
waymo,faster_rcnn,false_negative,Cyclist,small,critical,615
waymo,faster_rcnn,false_negative,Pedestrian,large,critical,3
waymo,faster_rcnn,false_negative,Pedestrian,medium,critical,83
waymo,faster_rcnn,false_negative,Pedestrian,small,critical,6011
waymo,faster_rcnn,false_negative,Vehicle,large,medium,266
waymo,faster_rcnn,false_negative,Vehicle,medium,medium,684
waymo,faster_rcnn,false_negative,Vehicle,small,medium,12875
waymo,faster_rcnn,false_positive,Cyclist,not_applicable,medium,1132
waymo,faster_rcnn,false_positive,Pedestrian,not_applicable,medium,2625
waymo,faster_rcnn,false_positive,Vehicle,not_applicable,low,2909
waymo,faster_rcnn,localization_error,Cyclist,medium,medium,4
waymo,faster_rcnn,localization_error,Cyclist,small,medium,65
waymo,faster_rcnn,localization_error,Pedestrian,large,medium,2
waymo,faster_rcnn,localization_error,Pedestrian,medium,medium,37
waymo,faster_rcnn,localization_error,Pedestrian,small,medium,747
waymo,faster_rcnn,localization_error,Vehicle,large,low,99
waymo,faster_rcnn,localization_error,Vehicle,medium,low,99
waymo,faster_rcnn,localization_error,Vehicle,small,low,712
waymo,faster_rcnn,true_positive,Cyclist,large,none,4
waymo,faster_rcnn,true_positive,Cyclist,medium,none,41
waymo,faster_rcnn,true_positive,Cyclist,small,none,69
waymo,faster_rcnn,true_positive,Pedestrian,large,none,44
waymo,faster_rcnn,true_positive,Pedestrian,medium,none,251
waymo,faster_rcnn,true_positive,Pedestrian,small,none,735
waymo,faster_rcnn,true_positive,Vehicle,large,none,581
waymo,faster_rcnn,true_positive,Vehicle,medium,none,894
waymo,faster_rcnn,true_positive,Vehicle,small,none,1628
waymo,retinanet,class_confusion,Cyclist,large,high,1
waymo,retinanet,class_confusion,Cyclist,medium,high,2
waymo,retinanet,class_confusion,Cyclist,small,high,48
waymo,retinanet,class_confusion,Pedestrian,large,high,1
waymo,retinanet,class_confusion,Pedestrian,medium,high,18
waymo,retinanet,class_confusion,Pedestrian,small,high,107
waymo,retinanet,class_confusion,Vehicle,large,high,3
waymo,retinanet,class_confusion,Vehicle,medium,high,5
waymo,retinanet,class_confusion,Vehicle,small,high,56
waymo,retinanet,duplicate_detection,Cyclist,large,low,1
waymo,retinanet,duplicate_detection,Cyclist,medium,low,8
waymo,retinanet,duplicate_detection,Cyclist,small,low,1
waymo,retinanet,duplicate_detection,Pedestrian,large,low,15
waymo,retinanet,duplicate_detection,Pedestrian,medium,low,41
waymo,retinanet,duplicate_detection,Pedestrian,small,low,44
waymo,retinanet,duplicate_detection,Vehicle,large,low,34
waymo,retinanet,duplicate_detection,Vehicle,medium,low,48
waymo,retinanet,duplicate_detection,Vehicle,small,low,68
waymo,retinanet,false_negative,Cyclist,large,critical,10
waymo,retinanet,false_negative,Cyclist,medium,critical,12
waymo,retinanet,false_negative,Cyclist,small,critical,602
waymo,retinanet,false_negative,Pedestrian,large,critical,2
waymo,retinanet,false_negative,Pedestrian,medium,critical,67
waymo,retinanet,false_negative,Pedestrian,small,critical,5881
waymo,retinanet,false_negative,Vehicle,large,medium,145
waymo,retinanet,false_negative,Vehicle,medium,medium,579
waymo,retinanet,false_negative,Vehicle,small,medium,12481
waymo,retinanet,false_positive,Cyclist,not_applicable,medium,379
waymo,retinanet,false_positive,Pedestrian,not_applicable,medium,1503
waymo,retinanet,false_positive,Vehicle,not_applicable,low,1969
waymo,retinanet,localization_error,Cyclist,medium,medium,1
waymo,retinanet,localization_error,Cyclist,small,medium,27
waymo,retinanet,localization_error,Pedestrian,large,medium,2
waymo,retinanet,localization_error,Pedestrian,medium,medium,30
waymo,retinanet,localization_error,Pedestrian,small,medium,553
waymo,retinanet,localization_error,Vehicle,large,low,54
waymo,retinanet,localization_error,Vehicle,medium,low,115
waymo,retinanet,localization_error,Vehicle,small,low,878
waymo,retinanet,true_positive,Cyclist,large,none,4
waymo,retinanet,true_positive,Cyclist,medium,none,54
waymo,retinanet,true_positive,Cyclist,small,none,82
waymo,retinanet,true_positive,Pedestrian,large,none,45
waymo,retinanet,true_positive,Pedestrian,medium,none,267
waymo,retinanet,true_positive,Pedestrian,small,none,865
waymo,retinanet,true_positive,Vehicle,large,none,702
waymo,retinanet,true_positive,Vehicle,medium,none,999
waymo,retinanet,true_positive,Vehicle,small,none,2022
waymo,rtdetr,class_confusion,Cyclist,large,high,3
waymo,rtdetr,class_confusion,Cyclist,medium,high,3
waymo,rtdetr,class_confusion,Cyclist,small,high,129
waymo,rtdetr,class_confusion,Pedestrian,large,high,1
waymo,rtdetr,class_confusion,Pedestrian,medium,high,22
waymo,rtdetr,class_confusion,Pedestrian,small,high,699
waymo,rtdetr,class_confusion,Vehicle,large,high,17
waymo,rtdetr,class_confusion,Vehicle,medium,high,64
waymo,rtdetr,class_confusion,Vehicle,small,high,836
waymo,rtdetr,duplicate_detection,Cyclist,large,low,12
waymo,rtdetr,duplicate_detection,Cyclist,medium,low,211
waymo,rtdetr,duplicate_detection,Cyclist,small,low,331
waymo,rtdetr,duplicate_detection,Pedestrian,large,low,369
waymo,rtdetr,duplicate_detection,Pedestrian,medium,low,1757
waymo,rtdetr,duplicate_detection,Pedestrian,small,low,2906
waymo,rtdetr,duplicate_detection,Vehicle,large,low,1913
waymo,rtdetr,duplicate_detection,Vehicle,medium,low,2471
waymo,rtdetr,duplicate_detection,Vehicle,small,low,3215
waymo,rtdetr,false_negative,Cyclist,large,critical,9
waymo,rtdetr,false_negative,Cyclist,medium,critical,8
waymo,rtdetr,false_negative,Cyclist,small,critical,516
waymo,rtdetr,false_negative,Pedestrian,large,critical,2
waymo,rtdetr,false_negative,Pedestrian,medium,critical,44
waymo,rtdetr,false_negative,Pedestrian,small,critical,5241
waymo,rtdetr,false_negative,Vehicle,large,medium,118
waymo,rtdetr,false_negative,Vehicle,medium,medium,353
waymo,rtdetr,false_negative,Vehicle,small,medium,11396
waymo,rtdetr,false_positive,Cyclist,not_applicable,medium,54281
waymo,rtdetr,false_positive,Pedestrian,not_applicable,medium,74632
waymo,rtdetr,false_positive,Vehicle,not_applicable,low,162755
waymo,rtdetr,localization_error,Cyclist,large,medium,7
waymo,rtdetr,localization_error,Cyclist,medium,medium,6
waymo,rtdetr,localization_error,Cyclist,small,medium,178
waymo,rtdetr,localization_error,Pedestrian,large,medium,2
waymo,rtdetr,localization_error,Pedestrian,medium,medium,13
waymo,rtdetr,localization_error,Pedestrian,small,medium,2336
waymo,rtdetr,localization_error,Vehicle,large,low,95
waymo,rtdetr,localization_error,Vehicle,medium,low,294
waymo,rtdetr,localization_error,Vehicle,small,low,5099
waymo,rtdetr,true_positive,Cyclist,large,none,5
waymo,rtdetr,true_positive,Cyclist,medium,none,58
waymo,rtdetr,true_positive,Cyclist,small,none,168
waymo,rtdetr,true_positive,Pedestrian,large,none,45
waymo,rtdetr,true_positive,Pedestrian,medium,none,290
waymo,rtdetr,true_positive,Pedestrian,small,none,1505
waymo,rtdetr,true_positive,Vehicle,large,none,729
waymo,rtdetr,true_positive,Vehicle,medium,none,1225
waymo,rtdetr,true_positive,Vehicle,small,none,3107
waymo,yolo,class_confusion,Cyclist,large,high,1
waymo,yolo,class_confusion,Cyclist,medium,high,14
waymo,yolo,class_confusion,Cyclist,small,high,15
waymo,yolo,class_confusion,Pedestrian,medium,high,4
waymo,yolo,class_confusion,Pedestrian,small,high,42
waymo,yolo,class_confusion,Vehicle,medium,high,24
waymo,yolo,class_confusion,Vehicle,small,high,59
waymo,yolo,duplicate_detection,Cyclist,medium,low,6
waymo,yolo,duplicate_detection,Cyclist,small,low,17
waymo,yolo,duplicate_detection,Pedestrian,large,low,238
waymo,yolo,duplicate_detection,Pedestrian,medium,low,972
waymo,yolo,duplicate_detection,Pedestrian,small,low,567
waymo,yolo,duplicate_detection,Vehicle,large,low,124
waymo,yolo,duplicate_detection,Vehicle,medium,low,327
waymo,yolo,duplicate_detection,Vehicle,small,low,206
waymo,yolo,false_negative,Cyclist,large,critical,10
waymo,yolo,false_negative,Cyclist,medium,critical,31
waymo,yolo,false_negative,Cyclist,small,critical,629
waymo,yolo,false_negative,Pedestrian,large,critical,1
waymo,yolo,false_negative,Pedestrian,medium,critical,72
waymo,yolo,false_negative,Pedestrian,small,critical,6366
waymo,yolo,false_negative,Vehicle,large,medium,311
waymo,yolo,false_negative,Vehicle,medium,medium,743
waymo,yolo,false_negative,Vehicle,small,medium,13135
waymo,yolo,false_positive,Cyclist,not_applicable,medium,375
waymo,yolo,false_positive,Pedestrian,not_applicable,medium,3455
waymo,yolo,false_positive,Vehicle,not_applicable,low,2731
waymo,yolo,localization_error,Cyclist,medium,medium,5
waymo,yolo,localization_error,Cyclist,small,medium,8
