dataset,detector,image_id,image_path,false_negative_count,false_positive_count,localization_error_count,class_confusion_count,duplicate_detection_count,high_confidence_false_positive_count,safety_relevant_failure_count,total_non_tp_failure_events,failure_type_score,image_width,image_height,total_gt_in_image,total_predictions_in_image
waymo,rtdetr,2736377008667623133_2676_410_2696_410_1511721506000758,data\processed\milestone_3\images\waymo\external\2736377008667623133_2676_410_2696_410_1511721506000758.png,4,297,2,0,5,0,203,308,513.877054,640,640,7,300
kitti,rtdetr,003550,data\processed\milestone_3\images\kitti\val\003550.png,0,294,0,0,33,0,217,327,513.876055,640,640,6,300
waymo,rtdetr,16213317953898915772_1597_170_1617_170_1509233614793727,data\processed\milestone_3\images\waymo\external\16213317953898915772_1597_170_1617_170_1509233614793727.png,23,283,14,4,16,2,139,340,513.821877,640,640,40,300
waymo,rtdetr,4690718861228194910_1980_000_2000_000_1552693984249382,data\processed\milestone_3\images\waymo\external\4690718861228194910_1980_000_2000_000_1552693984249382.png,32,287,13,2,16,4,120,350,513.795564,640,640,45,300
waymo,rtdetr,14107757919671295130_3546_370_3566_370_1511668650159419,data\processed\milestone_3\images\waymo\external\14107757919671295130_3546_370_3566_370_1511668650159419.png,21,299,3,0,1,0,168,324,513.484041,640,640,22,300
waymo,rtdetr,11660186733224028707_420_000_440_000_1541042907772381,data\processed\milestone_3\images\waymo\external\11660186733224028707_420_000_440_000_1541042907772381.png,33,298,16,0,0,0,129,347,513.473278,640,640,35,300
waymo,rtdetr,933621182106051783_4160_000_4180_000_1543516676272426,data\processed\milestone_3\images\waymo\external\933621182106051783_4160_000_4180_000_1543516676272426.png,27,288,13,2,28,1,122,358,512.913823,640,640,39,300
kitti,rtdetr,001972,data\processed\milestone_3\images\kitti\val\001972.png,0,296,0,0,27,0,213,323,512.816384,640,640,4,300
kitti,rtdetr,000731,data\processed\milestone_3\images\kitti\val\000731.png,0,296,0,0,39,0,212,335,512.730763,640,640,4,300
waymo,rtdetr,933621182106051783_4160_000_4180_000_1543516671772783,data\processed\milestone_3\images\waymo\external\933621182106051783_4160_000_4180_000_1543516671772783.png,30,282,12,1,32,2,119,357,512.425219,640,640,48,300
waymo,rtdetr,12657584952502228282_3940_000_3960_000_1549937212398470,data\processed\milestone_3\images\waymo\external\12657584952502228282_3940_000_3960_000_1549937212398470.png,23,286,16,6,17,0,138,348,512.354044,640,640,37,300
waymo,rtdetr,4690718861228194910_1980_000_2000_000_1552693983249433,data\processed\milestone_3\images\waymo\external\4690718861228194910_1980_000_2000_000_1552693983249433.png,29,285,13,2,10,7,134,339,512.332996,640,640,44,300
kitti,rtdetr,006496,data\processed\milestone_3\images\kitti\val\006496.png,0,290,0,0,33,3,215,323,512.324803,640,640,10,300
kitti,rtdetr,002393,data\processed\milestone_3\images\kitti\val\002393.png,0,292,0,0,24,3,217,316,512.166666,640,640,8,300
waymo,rtdetr,2736377008667623133_2676_410_2696_410_1511721507501045,data\processed\milestone_3\images\waymo\external\2736377008667623133_2676_410_2696_410_1511721507501045.png,3,297,1,0,32,0,205,333,511.896158,640,640,6,300
kitti,rtdetr,001286,data\processed\milestone_3\images\kitti\val\001286.png,0,297,0,0,12,8,210,309,511.762234,640,640,3,300
kitti,rtdetr,001454,data\processed\milestone_3\images\kitti\val\001454.png,0,294,0,0,26,2,216,320,511.619926,640,640,6,300
waymo,rtdetr,4690718861228194910_1980_000_2000_000_1552693970249035,data\processed\milestone_3\images\waymo\external\4690718861228194910_1980_000_2000_000_1552693970249035.png,30,297,16,1,12,1,129,356,511.573787,640,640,33,300
waymo,rtdetr,8679184381783013073_7740_000_7760_000_1541816064898889,data\processed\milestone_3\images\waymo\external\8679184381783013073_7740_000_7760_000_1541816064898889.png,32,296,14,1,0,0,127,343,511.526928,640,640,36,300
waymo,rtdetr,16213317953898915772_1597_170_1617_170_1509233617293594,data\processed\milestone_3\images\waymo\external\16213317953898915772_1597_170_1617_170_1509233617293594.png,20,283,14,7,17,1,136,341,511.456444,640,640,37,300
waymo,rtdetr,8679184381783013073_7740_000_7760_000_1541816071398596,data\processed\milestone_3\images\waymo\external\8679184381783013073_7740_000_7760_000_1541816071398596.png,29,297,17,1,4,0,127,348,510.702441,640,640,32,300
waymo,rtdetr,933621182106051783_4160_000_4180_000_1543516674272630,data\processed\milestone_3\images\waymo\external\933621182106051783_4160_000_4180_000_1543516674272630.png,27,288,13,3,26,1,118,357,510.559987,640,640,39,300
waymo,rtdetr,8679184381783013073_7740_000_7760_000_1541816067398885,data\processed\milestone_3\images\waymo\external\8679184381783013073_7740_000_7760_000_1541816067398885.png,32,297,13,1,3,0,123,346,510.537707,640,640,35,300
waymo,rtdetr,8679184381783013073_7740_000_7760_000_1541816060398842,data\processed\milestone_3\images\waymo\external\8679184381783013073_7740_000_7760_000_1541816060398842.png,30,296,10,3,0,0,130,339,510.480691,640,640,34,300
waymo,rtdetr,16213317953898915772_1597_170_1617_170_1509233623793727,data\processed\milestone_3\images\waymo\external\16213317953898915772_1597_170_1617_170_1509233623793727.png,22,285,13,4,20,0,136,344,510.310247,640,640,37,300
waymo,rtdetr,14931160836268555821_5778_870_5798_870_1507338351134600,data\processed\milestone_3\images\waymo\external\14931160836268555821_5778_870_5798_870_1507338351134600.png,1,293,0,0,14,1,213,308,510.019312,640,640,8,300
waymo,rtdetr,3126522626440597519_806_440_826_440_1511046956507026,data\processed\milestone_3\images\waymo\external\3126522626440597519_806_440_826_440_1511046956507026.png,11,297,1,0,2,0,185,311,509.865508,640,640,14,300
waymo,rtdetr,4690718861228194910_1980_000_2000_000_1552693975249396,data\processed\milestone_3\images\waymo\external\4690718861228194910_1980_000_2000_000_1552693975249396.png,28,287,17,2,20,1,120,354,509.631464,640,640,41,300
waymo,rtdetr,8679184381783013073_7740_000_7760_000_1541816074898668,data\processed\milestone_3\images\waymo\external\8679184381783013073_7740_000_7760_000_1541816074898668.png,30,297,17,3,3,0,117,350,508.6409,640,640,33,300
waymo,rtdetr,16213317953898915772_1597_170_1617_170_1509233620293598,data\processed\milestone_3\images\waymo\external\16213317953898915772_1597_170_1617_170_1509233620293598.png,21,284,14,5,27,2,125,351,508.579491,640,640,37,300
waymo,rtdetr,11660186733224028707_420_000_440_000_1541042907272599,data\processed\milestone_3\images\waymo\external\11660186733224028707_420_000_440_000_1541042907272599.png,30,296,17,0,4,0,127,347,508.53945,640,640,34,300
waymo,rtdetr,6324079979569135086_2372_300_2392_300_1506988301257952,data\processed\milestone_3\images\waymo\external\6324079979569135086_2372_300_2392_300_1506988301257952.png,18,291,11,2,11,2,152,333,508.49007,640,640,27,300
waymo,rtdetr,8679184381783013073_7740_000_7760_000_1541816062898937,data\processed\milestone_3\images\waymo\external\8679184381783013073_7740_000_7760_000_1541816062898937.png,34,298,17,2,1,0,113,352,508.471093,640,640,36,300
waymo,rtdetr,4690718861228194910_1980_000_2000_000_1552693976749413,data\processed\milestone_3\images\waymo\external\4690718861228194910_1980_000_2000_000_1552693976749413.png,29,288,18,3,21,2,112,359,508.372307,640,640,41,300
waymo,rtdetr,933621182106051783_4160_000_4180_000_1543516688272598,data\processed\milestone_3\images\waymo\external\933621182106051783_4160_000_4180_000_1543516688272598.png,24,294,10,2,13,0,140,343,508.003683,640,640,30,300
waymo,rtdetr,4690718861228194910_1980_000_2000_000_1552693973749276,data\processed\milestone_3\images\waymo\external\4690718861228194910_1980_000_2000_000_1552693973749276.png,30,290,18,4,12,2,115,354,507.532776,640,640,40,300
waymo,rtdetr,8679184381783013073_7740_000_7760_000_1541816070398965,data\processed\milestone_3\images\waymo\external\8679184381783013073_7740_000_7760_000_1541816070398965.png,34,299,11,1,1,0,119,346,507.495557,640,640,35,300
waymo,rtdetr,12358364923781697038_2232_990_2252_990_1507079373357140,data\processed\milestone_3\images\waymo\external\12358364923781697038_2232_990_2252_990_1507079373357140.png,2,300,2,0,0,0,201,304,507.453862,640,640,2,300
waymo,rtdetr,16213317953898915772_1597_170_1617_170_1509233624793771,data\processed\milestone_3\images\waymo\external\16213317953898915772_1597_170_1617_170_1509233624793771.png,17,282,12,4,24,0,146,339,507.27178,640,640,35,300
