dataset,detector,image_id,image_path,missed_pedestrians,missed_cyclists,small_missed_vru,medium_missed_vru,large_missed_vru,total_safety_false_negatives,max_best_same_class_iou,max_best_wrong_class_iou,safety_critical_score,image_width,image_height,total_gt_in_image,total_predictions_in_image
waymo,yolo,9114112687541091312_1100_000_1120_000_1544144341316314,data\processed\milestone_3\images\waymo\external\9114112687541091312_1100_000_1120_000_1544144341316314.png,32,3,34,1,0,35,0.0,0.0,52.75,640,640,49,3
waymo,faster_rcnn,9114112687541091312_1100_000_1120_000_1544144341316314,data\processed\milestone_3\images\waymo\external\9114112687541091312_1100_000_1120_000_1544144341316314.png,32,3,34,1,0,35,0.401779,0.801141,52.75,640,640,49,8
waymo,yolo,9114112687541091312_1100_000_1120_000_1544144326216286,data\processed\milestone_3\images\waymo\external\9114112687541091312_1100_000_1120_000_1544144326216286.png,31,3,34,0,0,34,0.0,0.0,51.75,640,640,48,7
waymo,yolo,9114112687541091312_1100_000_1120_000_1544144338816151,data\processed\milestone_3\images\waymo\external\9114112687541091312_1100_000_1120_000_1544144338816151.png,31,3,34,0,0,34,0.0,0.0,51.75,640,640,45,2
waymo,faster_rcnn,9114112687541091312_1100_000_1120_000_1544144326216286,data\processed\milestone_3\images\waymo\external\9114112687541091312_1100_000_1120_000_1544144326216286.png,31,3,34,0,0,34,0.394236,0.705418,51.75,640,640,48,12
waymo,yolo,13356997604177841771_3360_000_3380_000_1557267377587261,data\processed\milestone_3\images\waymo\external\13356997604177841771_3360_000_3380_000_1557267377587261.png,32,2,34,0,0,34,0.171324,0.714828,51.5,640,640,49,2
waymo,yolo,8506432817378693815_4860_000_4880_000_1557857360637369,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857360637369.png,32,2,34,0,0,34,0.0,0.086373,51.5,640,640,51,25
waymo,yolo,8506432817378693815_4860_000_4880_000_1557857364137450,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857364137450.png,32,2,34,0,0,34,0.0,0.073503,51.5,640,640,48,9
waymo,yolo,8506432817378693815_4860_000_4880_000_1557857367137450,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857367137450.png,32,2,34,0,0,34,0.269825,0.002823,51.5,640,640,47,22
waymo,yolo,8506432817378693815_4860_000_4880_000_1557857367637448,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857367637448.png,32,2,34,0,0,34,0.0,0.0,51.5,640,640,47,9
waymo,yolo,8506432817378693815_4860_000_4880_000_1557857368137463,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857368137463.png,32,2,34,0,0,34,0.286548,0.286548,51.5,640,640,47,18
waymo,retinanet,8506432817378693815_4860_000_4880_000_1557857363137470,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857363137470.png,32,2,34,0,0,34,0.434697,0.507309,51.5,640,640,49,14
waymo,faster_rcnn,8506432817378693815_4860_000_4880_000_1557857365637432,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857365637432.png,32,2,34,0,0,34,0.428226,0.598255,51.5,640,640,49,15
waymo,rtdetr,8506432817378693815_4860_000_4880_000_1557857358636513,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857358636513.png,33,1,34,0,0,34,0.473334,0.760659,51.25,640,640,53,300
waymo,retinanet,8506432817378693815_4860_000_4880_000_1557857356134808,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857356134808.png,33,1,34,0,0,34,0.382243,0.004413,51.25,640,640,61,19
waymo,faster_rcnn,8506432817378693815_4860_000_4880_000_1557857356634947,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857356634947.png,33,1,34,0,0,34,0.430404,0.650508,51.25,640,640,60,29
waymo,faster_rcnn,8506432817378693815_4860_000_4880_000_1557857359637183,data\processed\milestone_3\images\waymo\external\8506432817378693815_4860_000_4880_000_1557857359637183.png,33,1,34,0,0,34,0.46585,0.385817,51.25,640,640,53,21
waymo,yolo,9114112687541091312_1100_000_1120_000_1544144339816354,data\processed\milestone_3\images\waymo\external\9114112687541091312_1100_000_1120_000_1544144339816354.png,31,3,33,1,0,34,0.0,0.0,51.25,640,640,47,2
waymo,yolo,9114112687541091312_1100_000_1120_000_1544144340816348,data\processed\milestone_3\images\waymo\external\9114112687541091312_1100_000_1120_000_1544144340816348.png,31,3,33,1,0,34,0.0,0.0,51.25,640,640,47,2
waymo,yolo,9114112687541091312_1100_000_1120_000_1544144341816280,data\processed\milestone_3\images\waymo\external\9114112687541091312_1100_000_1120_000_1544144341816280.png,31,3,33,1,0,34,0.0,0.035581,51.25,640,640,48,3
