dataset,detector,class_name,object_size_bin,tp,fn,gt_objects,recall,false_negative_rate,small_fn,medium_fn,large_fn,critical_fn,mean_normalized_area_of_missed_objects
waymo,rtdetr,Pedestrian,large,45,2,47,0.957447,0.042553,0,0,2,2,0.0211395
waymo,rtdetr,Pedestrian,all_sizes,1840,5287,7127,0.258173,0.741827,5241,44,2,5287,0.00034973
waymo,rtdetr,Cyclist,small,168,516,684,0.245614,0.754386,516,0,0,516,0.00028163
waymo,rtdetr,Cyclist,medium,58,8,66,0.878788,0.121212,0,8,0,8,0.00624825
waymo,rtdetr,Cyclist,large,5,9,14,0.357143,0.642857,0,0,9,9,0.02479856
waymo,rtdetr,Cyclist,all_sizes,231,533,764,0.302356,0.697644,516,8,9,533,0.00078517
waymo,rtdetr,Vulnerable_Road_Users,small,1673,5757,7430,0.225168,0.774832,5757,0,0,5757,0.00029108
waymo,rtdetr,Vulnerable_Road_Users,medium,348,52,400,0.87,0.13,0,52,0,52,0.00627515
waymo,rtdetr,Vulnerable_Road_Users,large,50,11,61,0.819672,0.180328,0,0,11,11,0.02413327
waymo,rtdetr,Vulnerable_Road_Users,all_sizes,2071,5820,7891,0.262451,0.737549,5757,52,11,5820,0.00038961
waymo,retinanet,Pedestrian,small,865,5881,6746,0.128224,0.871776,5881,0,0,5881,0.00035035
waymo,retinanet,Pedestrian,medium,267,67,334,0.799401,0.200599,0,67,0,67,0.00641107
waymo,retinanet,Pedestrian,large,45,2,47,0.957447,0.042553,0,0,2,2,0.020723
waymo,retinanet,Pedestrian,all_sizes,1177,5950,7127,0.165147,0.834853,5881,67,2,5950,0.00042544
waymo,retinanet,Cyclist,small,82,602,684,0.119883,0.880117,602,0,0,602,0.00034676
waymo,retinanet,Cyclist,medium,54,12,66,0.818182,0.181818,0,12,0,12,0.006133
waymo,retinanet,Cyclist,large,4,10,14,0.285714,0.714286,0,0,10,10,0.0243642
waymo,retinanet,Cyclist,all_sizes,140,624,764,0.183246,0.816754,602,12,10,624,0.00084293
waymo,retinanet,Vulnerable_Road_Users,small,947,6483,7430,0.127456,0.872544,6483,0,0,6483,0.00035002
waymo,retinanet,Vulnerable_Road_Users,medium,321,79,400,0.8025,0.1975,0,79,0,79,0.00636884
waymo,retinanet,Vulnerable_Road_Users,large,49,12,61,0.803279,0.196721,0,0,12,12,0.02375733
waymo,retinanet,Vulnerable_Road_Users,all_sizes,1317,6574,7891,0.166899,0.833101,6483,79,12,6574,0.00046507
waymo,faster_rcnn,Pedestrian,small,735,6011,6746,0.108953,0.891047,6011,0,0,6011,0.00037399
waymo,faster_rcnn,Pedestrian,medium,251,83,334,0.751497,0.248503,0,83,0,83,0.00681352
waymo,faster_rcnn,Pedestrian,large,44,3,47,0.93617,0.06383,0,0,3,3,0.02420933
waymo,faster_rcnn,Pedestrian,all_sizes,1030,6097,7127,0.144521,0.855479,6011,83,3,6097,0.00047338
waymo,faster_rcnn,Cyclist,small,69,615,684,0.100877,0.899123,615,0,0,615,0.00038264
waymo,faster_rcnn,Cyclist,medium,41,25,66,0.621212,0.378788,0,25,0,25,0.00602088
waymo,faster_rcnn,Cyclist,large,4,10,14,0.285714,0.714286,0,0,10,10,0.0243642
waymo,faster_rcnn,Cyclist,all_sizes,114,650,764,0.149215,0.850785,615,25,10,650,0.00096844
waymo,faster_rcnn,Vulnerable_Road_Users,small,804,6626,7430,0.10821,0.89179,6626,0,0,6626,0.00037479
waymo,faster_rcnn,Vulnerable_Road_Users,medium,292,108,400,0.73,0.27,0,108,0,108,0.00663004
waymo,faster_rcnn,Vulnerable_Road_Users,large,48,13,61,0.786885,0.213115,0,0,13,13,0.02432846
waymo,faster_rcnn,Vulnerable_Road_Users,all_sizes,1144,6747,7891,0.144975,0.855025,6626,108,13,6747,0.00052107
