detector,train_mAP_50_95,train_mAP_50,mAP_50_95,mAP_50,mAP_75,AP_small,AP_medium,AP_large,Vehicle_AP,Pedestrian_AP,Cyclist_AP
yolo,0.69,0.927,0.6899,0.9248,0.7797,0.6452,0.7523,0.7176,0.8489,0.5298,0.6911
faster_rcnn,0.5905,0.87,0.5892,0.879,0.6665,0.5583,0.628,0.6062,0.7414,0.4317,0.5944
retinanet,0.5311,0.8413,0.5375,0.839,0.5774,0.4667,0.622,0.6238,0.7032,0.3915,0.518
rtdetr,0.603,0.904,0.6057,0.9058,0.6787,0.5152,0.6999,0.7142,0.7304,0.4901,0.5967
