dataset,detector,class_name,object_size_bin,tp,fn,gt_objects,recall,false_negative_rate,mean_normalized_area
kitti,faster_rcnn,Vulnerable_Road_Users,medium,337,18,355,0.949296,0.050704,0.00822246
kitti,faster_rcnn,Vulnerable_Road_Users,large,56,3,59,0.949153,0.050847,0.02369798
kitti,faster_rcnn,Vulnerable_Road_Users,all_sizes,1225,95,1320,0.92803,0.07197,0.00420435
kitti,faster_rcnn,All_Classes,small,4795,186,4981,0.962658,0.037342,0.00149714
kitti,faster_rcnn,All_Classes,medium,1670,70,1740,0.95977,0.04023,0.00824118
kitti,faster_rcnn,All_Classes,large,1048,23,1071,0.978525,0.021475,0.03230153
kitti,faster_rcnn,All_Classes,all_sizes,7513,279,7792,0.964194,0.035806,0.00723715
waymo,yolo,Vehicle,small,1368,13135,14503,0.094325,0.905675,0.00066664
waymo,yolo,Vehicle,medium,835,743,1578,0.529151,0.470849,0.0081944
waymo,yolo,Vehicle,large,536,311,847,0.632822,0.367178,0.03726046
waymo,yolo,Vehicle,all_sizes,2739,14189,16928,0.161803,0.838197,0.00319935
waymo,yolo,Pedestrian,small,380,6366,6746,0.05633,0.94367,0.00050774
waymo,yolo,Pedestrian,medium,262,72,334,0.784431,0.215569,0.00787593
waymo,yolo,Pedestrian,large,46,1,47,0.978723,0.021277,0.02370068
waymo,yolo,Pedestrian,all_sizes,688,6439,7127,0.096534,0.903466,0.001006
waymo,yolo,Cyclist,small,55,629,684,0.080409,0.919591,0.00052367
waymo,yolo,Cyclist,medium,35,31,66,0.530303,0.469697,0.00634433
waymo,yolo,Cyclist,large,4,10,14,0.285714,0.714286,0.02371914
waymo,yolo,Cyclist,all_sizes,94,670,764,0.123037,0.876963,0.00145155
waymo,yolo,Vulnerable_Road_Users,small,435,6995,7430,0.058546,0.941454,0.00050921
waymo,yolo,Vulnerable_Road_Users,medium,297,103,400,0.7425,0.2575,0.00762321
waymo,yolo,Vulnerable_Road_Users,large,50,11,61,0.819672,0.180328,0.02370492
waymo,yolo,Vulnerable_Road_Users,all_sizes,782,7109,7891,0.0991,0.9009,0.00104913
waymo,yolo,All_Classes,small,1803,20130,21933,0.082205,0.917795,0.00061331
waymo,yolo,All_Classes,medium,1132,846,1978,0.572295,0.427705,0.00807889
waymo,yolo,All_Classes,large,586,322,908,0.645374,0.354626,0.03634979
waymo,yolo,All_Classes,all_sizes,3521,21298,24819,0.141867,0.858133,0.00251571
waymo,rtdetr,Vehicle,small,3107,11396,14503,0.214232,0.785768,0.00066664
waymo,rtdetr,Vehicle,medium,1225,353,1578,0.776299,0.223701,0.0081944
