detector,class_name,object_size_bin,KITTI_gt_objects,Waymo_gt_objects,KITTI_recall,Waymo_recall,recall_drop_KITTI_minus_Waymo,KITTI_false_negative_rate,Waymo_false_negative_rate,fnr_increase_Waymo_minus_KITTI
faster_rcnn,Vehicle,medium,1385,1578,0.962455,0.56654,0.395915,0.037545,0.43346,0.395915
faster_rcnn,Vehicle,large,1012,847,0.980237,0.68595,0.294287,0.019763,0.31405,0.294287
faster_rcnn,Vehicle,all_sizes,6472,16928,0.97157,0.183306,0.788264,0.02843,0.816694,0.788264
faster_rcnn,Pedestrian,small,646,6746,0.900929,0.108953,0.791976,0.099071,0.891047,0.791976
faster_rcnn,Pedestrian,medium,298,334,0.946309,0.751497,0.194812,0.053691,0.248503,0.194812
faster_rcnn,Pedestrian,large,36,47,0.916667,0.93617,-0.019503,0.083333,0.06383,-0.019503
faster_rcnn,Pedestrian,all_sizes,980,7127,0.915306,0.144521,0.770785,0.084694,0.855479,0.770785
faster_rcnn,Cyclist,small,260,684,0.961538,0.100877,0.860661,0.038462,0.899123,0.860661
faster_rcnn,Cyclist,medium,57,66,0.964912,0.621212,0.3437,0.035088,0.378788,0.3437
faster_rcnn,Cyclist,large,23,14,1.0,0.285714,0.714286,0.0,0.714286,0.714286
faster_rcnn,Cyclist,all_sizes,340,764,0.964706,0.149215,0.815491,0.035294,0.850785,0.815491
faster_rcnn,Vulnerable_Road_Users,small,906,7430,0.918322,0.10821,0.810112,0.081678,0.89179,0.810112
faster_rcnn,Vulnerable_Road_Users,medium,355,400,0.949296,0.73,0.219296,0.050704,0.27,0.219296
faster_rcnn,Vulnerable_Road_Users,large,59,61,0.949153,0.786885,0.162268,0.050847,0.213115,0.162268
faster_rcnn,Vulnerable_Road_Users,all_sizes,1320,7891,0.92803,0.144975,0.783055,0.07197,0.855025,0.783055
faster_rcnn,All_Classes,small,4981,21933,0.962658,0.110883,0.851775,0.037342,0.889117,0.851775
faster_rcnn,All_Classes,medium,1740,1978,0.95977,0.599596,0.360174,0.04023,0.400404,0.360174
faster_rcnn,All_Classes,large,1071,908,0.978525,0.692731,0.285794,0.021475,0.307269,0.285794
faster_rcnn,All_Classes,all_sizes,7792,24819,0.964194,0.171119,0.793075,0.035806,0.828881,0.793075
