stage_number,stage_name,script,command,mode,started_at_utc,finished_at_utc,elapsed_seconds,return_code,status
1,Validate Milestone 2 inputs,01_validate_milestone_2_inputs.py,"""C:\Users\Mazen\Desktop\AAST\Research\Autonomous research\AVenv\Scripts\python.exe"" ""C:\Users\Mazen\Desktop\AAST\Research\Autonomous research\scripts\milestone_3\01_validate_milestone_2_inputs.py""",validate_only,2026-06-19T06:10:20.409366Z,2026-06-19T06:10:48.108942Z,27.6997,0,PASSED
3,Preprocessing dry run,03_preprocessing_dry_run.py,"""C:\Users\Mazen\Desktop\AAST\Research\Autonomous research\AVenv\Scripts\python.exe"" ""C:\Users\Mazen\Desktop\AAST\Research\Autonomous research\scripts\milestone_3\03_preprocessing_dry_run.py""",validate_only,2026-06-19T06:10:48.115584Z,2026-06-19T06:10:49.745224Z,1.6297,0,PASSED
9,Validate COCO annotations,09_validate_coco_annotations.py,"""C:\Users\Mazen\Desktop\AAST\Research\Autonomous research\AVenv\Scripts\python.exe"" ""C:\Users\Mazen\Desktop\AAST\Research\Autonomous research\scripts\milestone_3\09_validate_coco_annotations.py""",validate_only,2026-06-19T06:10:49.752552Z,2026-06-19T06:11:06.384301Z,16.6324,0,PASSED
10,Validate YOLO annotations,10_validate_yolo_annotations.py,"""C:\Users\Mazen\Desktop\AAST\Research\Autonomous research\AVenv\Scripts\python.exe"" ""C:\Users\Mazen\Desktop\AAST\Research\Autonomous research\scripts\milestone_3\10_validate_yolo_annotations.py""",validate_only,2026-06-19T06:11:06.391620Z,2026-06-19T06:11:16.616610Z,10.226,0,PASSED
11,Validate COCO-YOLO equivalence,11_validate_coco_yolo_equivalence.py,"""C:\Users\Mazen\Desktop\AAST\Research\Autonomous research\AVenv\Scripts\python.exe"" ""C:\Users\Mazen\Desktop\AAST\Research\Autonomous research\scripts\milestone_3\11_validate_coco_yolo_equivalence.py""",validate_only,2026-06-19T06:11:16.626539Z,2026-06-19T06:11:24.479120Z,7.8525,0,PASSED
12,Create visual annotation checks,12_create_visual_annotation_checks.py,"""C:\Users\Mazen\Desktop\AAST\Research\Autonomous research\AVenv\Scripts\python.exe"" ""C:\Users\Mazen\Desktop\AAST\Research\Autonomous research\scripts\milestone_3\12_create_visual_annotation_checks.py""",validate_only,2026-06-19T06:11:24.485315Z,2026-06-19T06:11:26.772561Z,2.2878,0,PASSED
13,Validate augmentation policy,13_validate_augmentation_policy.py,"""C:\Users\Mazen\Desktop\AAST\Research\Autonomous research\AVenv\Scripts\python.exe"" ""C:\Users\Mazen\Desktop\AAST\Research\Autonomous research\scripts\milestone_3\13_validate_augmentation_policy.py""",validate_only,2026-06-19T06:11:26.779992Z,2026-06-19T06:11:28.877565Z,2.0964,0,PASSED
14,Validate dataset loaders,14_validate_dataset_loaders.py,"""C:\Users\Mazen\Desktop\AAST\Research\Autonomous research\AVenv\Scripts\python.exe"" ""C:\Users\Mazen\Desktop\AAST\Research\Autonomous research\scripts\milestone_3\14_validate_dataset_loaders.py""",validate_only,2026-06-19T06:11:28.883634Z,2026-06-19T06:11:33.857827Z,4.9737,0,PASSED
15,Run final dataset audit,15_final_dataset_audit.py,"""C:\Users\Mazen\Desktop\AAST\Research\Autonomous research\AVenv\Scripts\python.exe"" ""C:\Users\Mazen\Desktop\AAST\Research\Autonomous research\scripts\milestone_3\15_final_dataset_audit.py""",validate_only,2026-06-19T06:11:33.865091Z,2026-06-19T06:11:38.755271Z,4.8903,0,PASSED
